"year","flag_tsunami","flag_earthquake","volcano_name","country","elevation","volcano_type","volcanic_explosivity_index","volcano_deaths","volcano_deaths_description","volcano_injuries","volcano_injuries_description","volcano_damage_in_m","volcano_damage_description","volcano_houses_destroyed","volcano_houses_destroyed_description","lat","long"
1280,FALSE,FALSE,"Quilotoa","Ecuador",3914,"Caldera",6,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-0.85,-78.9
1540,TRUE,FALSE,"Augustine","United States",1252,"Lava dome",4,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",59.37,-153.42
1660,TRUE,FALSE,"Long Island","Papua New Guinea",1280,"Complex volcano",6,2000,"Very Many (~1001 or more)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",-5.358,147.12
1858,FALSE,TRUE,"Tate-yama","Japan",2621,"Stratovolcano",NA,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.57,137.6
1864,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",2,54,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"Many (~101 to 1000)",-7.93,112.308
1873,FALSE,FALSE,"Ragang","Philippines",2815,"Stratovolcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",7.67,124.5
1902,FALSE,FALSE,"Tori-shima","Japan",403,"Stratovolcano",3,125,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",30.48,140.32
1907,FALSE,FALSE,"Alayta","Ethiopia",1501,"Shield volcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",12.88,40.57
1909,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",2,221,"Many (~101 to 1000)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-8.108,112.92
1919,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",4,5110,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",9000,"Very Many (~1001 or more)",-7.93,112.308
1919,FALSE,FALSE,"Nasu","Japan",1917,"Stratovolcano",NA,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.12,139.97
1920,FALSE,FALSE,"Izalco","El Salvador",1950,"Stratovolcano",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.813,-89.633
1938,FALSE,FALSE,"Bandai","Japan",1819,"Stratovolcano",NA,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.6,140.08
1949,FALSE,FALSE,"Villarrica","Chile",2847,"Stratovolcano",3,54,"Some (~51 to 100)",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"None/No Record",-39.42,-71.93
1963,FALSE,FALSE,"Fuego","Guatemala",3763,"Stratovolcano",3,7,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",14.473,-90.88
1968,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",3,6,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.257,123.685
1985,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",3,70,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.108,112.92
1992,FALSE,FALSE,"Marapi","Indonesia",2891,"Complex volcano",2,1,"Few (~1 to 50)",5,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-0.381,100.473
2001,FALSE,FALSE,"Stromboli","Italy",926,"Stratovolcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",38.789,15.213
2004,FALSE,FALSE,"Manam","Papua New Guinea",1807,"Stratovolcano",4,5,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-4.1,145.061
2010,TRUE,TRUE,"Sarigan","United States",538,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",16.708,145.78
2018,FALSE,TRUE,"Etna","Italy",3350,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.734,15.004
2020,FALSE,FALSE,"Taal","Philippines",400,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",67,"EXTREME (~>=$25 million)",4573,"Very Many (~1001 or more)",14.002,120.993
1357,FALSE,FALSE,"Katla","Iceland",1512,"Subglacial volcano",4,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.63,-19.05
1586,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",5,10000,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.93,112.308
1730,FALSE,FALSE,"Tseax River Cone","Canada",609,"Pyroclastic cone",NA,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",55.12,-128.9
1823,FALSE,FALSE,"Kilauea","United States",1222,"Shield volcano",0,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.425,-155.292
1832,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",3,32,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"Some (~51 to 100)",-7.542,110.442
1838,FALSE,FALSE,"Gamalama","Indonesia",1715,"Stratovolcano",2,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",0.8,127.325
1858,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.257,123.685
1872,FALSE,FALSE,"Aso","Japan",1592,"Caldera",3,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.88,131.1
1879,TRUE,FALSE,"Stromboli","Italy",926,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",38.789,15.213
1893,FALSE,FALSE,"Azuma","Japan",2024,"Stratovolcano",2,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.73,140.25
1918,TRUE,FALSE,"Banua Wuhu","Indonesia",-5,"Submarine volcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",3.138,125.491
1940,FALSE,FALSE,"Miyake-jima","Japan",815,"Stratovolcano",2,11,"Few (~1 to 50)",20,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",34.08,139.53
1966,TRUE,FALSE,"Tinakula","Solomon Is.",851,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-10.38,165.8
1970,FALSE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.98,-19.7
1974,FALSE,FALSE,"Fuego","Guatemala",3763,"Stratovolcano",4,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"Many (~101 to 1000)",14.473,-90.88
1975,FALSE,FALSE,"Marapi","Indonesia",2891,"Complex volcano",2,80,"Some (~51 to 100)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",-0.381,100.473
1977,FALSE,FALSE,"Krafla","Iceland",650,"Caldera",1,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",65.73,-16.78
1984,FALSE,FALSE,"On-take","Japan",3063,"Complex volcano",NA,29,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",35.9,137.48
1989,FALSE,FALSE,"Aso","Japan",1592,"Caldera",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.88,131.1
1991,FALSE,FALSE,"Mutnovsky","Russia",2322,"Complex volcano",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",52.453,158.195
